,study_hours_per_day,sleep_hours,stress_level,focus_score,productivity_score
0,4.35,3.63,10,57,33.78
1,6.14,6.58,10,49,48.99
2,4.98,3.26,2,38,36.6
3,3.19,4.58,6,50,19.87
4,7.67,6.21,6,41,52.9
5,7.18,3.52,10,70,47.31
6,9.06,6.36,8,35,41.23
7,6.37,4.86,6,59,53.81
8,4.19,4.87,3,39,25.99
9,7.28,9.56,10,73,73.18
10,6.38,7.83,10,82,55.34
11,6.36,9.51,10,92,77.35
12,8.57,7.03,3,86,78.35
13,9.15,9.35,4,78,76.03
14,2.21,8.86,8,96,47.86
15,3.48,9.98,5,97,67.31
16,6.68,6.52,2,87,59.99
17,5.79,7.87,10,77,49.36
18,6.7,4.12,8,80,42.69
19,4.61,9.58,4,32,47.04
20,4.42,5.79,10,70,52.6
21,1.62,9.42,7,33,32.6
22,6.42,3.7,8,47,35.45
23,2.17,6.61,6,65,27.4
24,6.87,3.01,9,61,40.96
25,9.69,5.91,8,62,68.64
26,2.94,3.58,8,99,43.84
27,1.85,6.14,5,97,33.48
28,0.73,6.89,4,31,14.94
29,4.1,8.97,7,93,62.43
30,2.54,5.07,9,45,29.18
31,5.17,6.97,10,48,32.14
32,5.48,3.47,4,31,39.03
33,3.82,9.39,5,89,54.18
34,7.62,6.16,7,31,52.21
35,9.1,4.77,2,58,53.17
36,2.51,6.24,2,71,43.35
37,8.44,6.37,9,69,59.01
38,1.75,8.2,9,36,26.24
39,2.67,9.82,6,47,42.64
40,5.83,4.3,4,37,33.27
41,3.41,3.38,7,59,35.68
42,0.9,7.59,10,91,35.67
43,3.3,9.19,9,39,38.65
44,9.1,6.96,4,84,74.5
45,2.16,3.56,2,78,43.79
46,7.76,5.95,10,50,54.75
47,7.36,7.58,8,87,58.29
48,1.51,5.3,3,96,45.33
49,3.63,8.91,1,79,55.92
50,2.3,4.57,9,51,21.43
51,0.72,5.55,2,32,17.71
52,2.14,9.42,1,60,36.04
53,2.41,7.01,9,62,31.11
54,2.08,3.04,5,57,19.22
55,1.37,4.71,3,51,29.34
56,5.5,8.27,5,93,64.12
57,3.57,3.36,10,87,33.96
58,9.13,9.95,5,38,55.79
59,2.28,9.29,3,59,49.32
60,6.23,4.57,2,90,71.05
61,9.06,9.27,1,96,99.9
62,0.95,7.9,7,91,38.16
63,5.4,5.98,3,64,54.77
64,4.78,4.37,4,83,46.46
65,9.32,4.4,5,75,59.32
66,6.81,7.16,4,32,51.14
67,3.82,5.91,8,42,38.85
68,7.26,7.17,7,70,51.57
69,6.04,5.31,3,79,60.03
70,3.8,4.61,6,35,33.07
71,7.96,8.86,7,47,59.44
72,6.85,9.44,10,51,52.53
73,0.55,7.94,4,66,34.07
74,8.72,4.13,4,92,70.89
75,4.27,3.65,5,72,31.49
76,6.63,6.77,2,41,53.44
77,4.27,6.85,5,98,65.22
78,8.87,7.47,6,50,70.49
79,6.68,9.34,7,88,76.09
80,6.0,7.53,4,54,52.74
81,9.81,9.41,1,87,89.91
82,3.17,3.82,8,53,34.07
83,1.12,7.96,6,33,30.86
84,5.4,9.49,10,38,34.47
85,4.53,6.24,10,31,24.44
86,4.82,9.77,2,63,68.65
87,6.39,6.87,3,47,46.0
88,6.34,9.6,7,36,54.53
89,4.23,8.24,3,88,60.05
90,8.7,6.2,5,96,81.19
91,6.69,3.24,5,35,43.55
92,8.95,7.6,3,33,61.03
93,9.17,4.78,3,62,72.59
94,2.09,5.02,1,53,37.03
95,6.97,3.14,8,37,38.29
96,3.52,6.9,6,71,39.5
97,8.45,5.03,1,92,76.0
98,7.46,9.88,9,70,66.13
99,2.39,8.24,6,74,50.18
100,9.42,5.5,3,40,56.71
101,6.99,5.06,2,99,58.87
102,9.51,8.0,4,71,72.82
103,2.42,4.78,6,45,17.82
104,8.76,6.14,7,48,55.27
105,6.85,4.12,3,57,54.76
106,5.75,4.78,1,59,39.49
107,8.29,3.69,9,56,46.21
108,6.51,5.99,4,87,70.71
109,6.86,9.49,7,66,72.47
110,2.91,3.71,4,95,38.44
111,8.26,6.06,5,33,46.21
112,6.68,5.09,8,81,56.07
113,8.52,5.54,8,38,49.37
114,3.84,8.4,3,93,56.8
115,3.65,6.05,5,41,21.91
116,0.73,7.55,1,58,28.84
117,7.8,9.81,7,59,71.71
118,3.64,7.32,7,70,50.89
119,3.61,5.36,8,72,43.8
120,7.04,5.78,3,77,66.98
121,2.9,7.87,1,96,52.09
122,9.14,7.86,8,50,62.61
123,5.61,5.58,5,47,45.94
124,9.71,8.07,10,77,70.43
125,1.23,6.85,7,40,28.43
126,3.7,9.86,1,88,67.11
127,4.12,9.36,4,57,46.33
128,7.44,8.77,6,67,70.94
129,2.52,3.24,7,50,19.66
130,4.07,5.66,2,95,57.37
131,9.15,7.01,5,70,70.29
132,1.59,6.65,8,43,23.0
133,7.58,8.34,3,44,61.96
134,7.17,9.36,1,38,70.91
135,1.74,8.51,2,66,40.11
136,7.04,4.54,3,43,49.24
137,5.91,6.4,2,33,49.41
138,3.23,5.76,5,45,33.8
139,3.46,8.36,10,69,35.07
140,8.41,9.27,3,65,78.08
141,2.69,5.01,8,75,39.51
142,5.37,6.42,1,39,45.43
143,6.97,8.12,3,31,59.16
144,1.73,3.35,4,38,23.03
145,9.36,9.74,9,62,69.76
146,2.98,8.6,5,79,39.11
147,3.53,6.8,10,94,55.59
148,6.83,8.45,6,62,49.65
149,1.24,8.85,4,44,32.62
150,6.46,6.46,9,58,47.27
151,9.2,6.08,8,64,61.4
152,2.87,8.86,8,90,52.29
153,3.94,9.02,1,66,54.56
154,2.71,3.87,9,76,30.24
155,8.28,9.35,10,88,61.42
156,2.09,4.94,6,91,42.53
157,3.79,7.67,7,39,28.25
158,6.21,7.97,10,67,61.43
159,4.34,4.96,9,74,32.77
160,1.12,5.13,6,40,14.46
161,9.5,7.94,5,51,66.42
162,3.71,4.23,8,35,16.53
163,4.73,9.01,4,44,60.56
164,2.09,4.56,8,67,25.33
165,8.72,5.46,4,59,52.96
166,3.27,4.87,1,66,42.44
167,0.69,4.72,7,65,19.31
168,3.51,9.85,1,43,61.4
169,9.85,4.77,2,35,62.17
170,1.9,7.05,3,88,44.58
171,0.8,8.22,1,46,37.55
172,5.99,3.29,6,39,38.12
173,4.03,9.17,3,40,52.04
174,8.05,4.07,3,80,54.7
175,7.45,7.12,9,42,51.19
176,2.26,7.49,8,54,35.18
177,5.86,7.41,2,63,63.74
178,0.81,8.13,9,37,30.77
179,4.68,9.52,10,34,41.38
180,7.28,9.49,2,58,60.85
181,4.44,7.05,2,81,56.12
182,1.62,5.59,3,83,41.54
183,1.08,5.25,3,43,25.2
184,8.61,9.21,8,89,68.95
185,8.97,8.97,2,32,64.17
186,3.76,5.07,1,83,59.61
187,2.06,4.07,5,81,28.7
188,9.8,9.03,1,63,80.82
189,5.69,7.26,3,84,53.71
190,5.03,5.19,6,42,42.76
191,7.55,7.27,6,82,60.54
192,2.1,3.46,5,68,39.08
193,6.01,4.33,1,36,33.46
194,8.96,6.82,1,72,64.45
195,0.72,6.77,3,61,40.52
196,6.89,4.73,10,78,59.21
197,5.74,9.87,8,77,61.31
198,9.53,5.89,9,81,79.06
199,2.96,7.96,7,48,31.86
200,8.66,4.81,3,53,66.93
201,3.44,5.97,3,63,40.04
202,4.58,8.82,5,31,43.42
203,2.53,8.94,4,73,39.23
204,8.7,3.95,4,53,55.99
205,2.36,5.48,5,97,43.96
206,8.66,4.42,6,31,50.72
207,4.83,9.23,2,62,55.82
208,8.43,8.28,7,81,73.31
209,3.01,6.94,1,57,56.31
210,1.76,7.55,4,67,36.14
211,5.77,9.4,1,31,60.87
212,5.34,5.12,5,80,50.12
213,3.89,3.1,9,87,40.8
214,6.8,3.18,1,45,51.79
215,1.4,3.33,5,53,23.7
216,6.41,3.9,9,59,46.36
217,2.51,7.0,1,64,42.92
218,1.73,9.87,10,40,25.16
219,9.14,5.94,9,42,49.33
220,4.87,7.99,10,34,29.35
221,7.75,8.55,8,88,74.37
222,1.35,8.61,4,95,62.42
223,1.05,6.1,7,36,27.27
224,5.2,6.85,1,60,42.88
225,3.5,5.3,3,94,41.2
226,0.55,7.82,10,59,30.88
227,2.24,5.68,4,36,31.27
228,2.58,5.18,1,89,45.59
229,3.24,7.39,9,71,36.01
230,8.84,5.39,9,72,66.15
231,4.5,5.86,3,96,56.49
232,6.95,7.98,3,44,62.53
233,0.67,8.97,3,94,49.53
234,8.23,6.04,5,63,56.53
235,2.78,6.66,5,52,38.79
236,3.44,8.22,3,40,38.11
237,0.93,4.57,10,68,33.96
